question,text
The collision of the Indian sub continent and the Asian plate created which mountain range?,the Himalayas
How many continents did Laurasia break into?,three
In the Paleocene period Greenland was joined to which continent?,North America
What mountain chain in the Cretaceous was lifted as a result of the Laramide oregeny?,the Rocky Mountains
In which period did North and South america join?,Neogene
Which ocean was closed when Africa moved northward during the Paleocene?,Tethys
During what years did the Eocene period take place?,56 million years ago - 33.9 million years ago
Australia was connected to which other continent at the start of the Eocene?,Antarctica
How long ago did Antarctica and Australia split?,around 45 Ma
Around how many years ago is the current ice age pattern believed to have begun?,40 million years
The mixing of equatorial currents with Antarctic waters in the Eocene resulted in what?,keeping global temperatures high
during which period did mountains form in the western part of North America?,Eocene
"In the Eocene, in Europe, which sea ceased to be?",Tethys Sea
The Mediterranean sea is a remaining part of which sea from the Eocene?,Tethys Sea
What began to form in the flat basins in North America during the Eocene?,huge lakes
Which oregeny was created when India collided with Asia?,the Himalayan orogeny
What permanent structure formed on Antarctica?,ice cap
The lift of which mountain range in Europe was the result of the African plate moving north into the Eurasian?,the Alps
During what period was there a land bridge joining Europe and North America?,Oligocene
In the Oligocene period South America broke free from what other continent?,Antarctica
Which current resulted in the cooling of Antarctica?,the Antarctic Circumpolar Current
The formation of which mountain range was the result of of what zone along the Pacific Ocean side of South America?,the Andes
Which continent was India colliding with in the Miocene?,Asia
When Africa was colliding with Eurasia which seaway ceased to be during the Miocene?,The Tethys Seaway
Between what period of time did the Tethys disappear?,19 and 12 Ma
Which crisis occured towards the end of the Miocene period?,Messinian salinity crisis
What is the link between North and South America called?,the Isthmus of Panama
In which period did North and South America become linked?,Pliocene
The Mediterranean was created by the collision of Europe and what?,Africa
What period came after the Pliocene?,the Quaternary Period
The Pliocene saw the end of what fauna in South America?,marsupial faunas
How long ago did the last glacial period end?,"about 10,000 years ago"
During what period did sea levels rice 115 feet?,Holocene
By what height did sea levels rise at the end of the last glacial period?,35 metres (115 ft)
Glaciars from what period depressed the height of northern lands by 591 feet?,Pleistocene
What sea did the Hudson Bay used to be a part of?,Tyrrell Sea
What does the state want a police force to do?,"enforce the law, protect property, and limit civil disorder"
What are gendarmerie?,military units charged with civil policing
What are police usually separate from?,military or other organizations involved in the defense of the state against foreign aggressors
How are police usually paid?,through taxes
When were police used to protect the class system?,late 18th and early 19th centuries
What kind of service are police?,public sector
What problem do many police forces have?,corruption
How are police usually paid?,through taxes
What kind of service are police?,public sector
When were police used to protect the class system?,late 18th and early 19th centuries
What problem do many police forces have?,corruption
Which Chinese kingdoms developed law enforcement?,Chu and Jin
What period was the Chu kingdom in?,Spring
What period was the Jin kingdom in?,Autumn
Which countries adopted the 'prefecture system' from China?,Korea and Japan
What did ancient China call its police?,prefects
What war ended in 1479?,War of the Castilian Succession
Who formed Spain's first national police force?,Ferdinand and Isabella
"What was Spain's first national police force called, in Spanish?",Santa Hermandad
What does Santa Hermandad mean?,Holy Brotherhood
When did Spain suppress local police units?,1835
Which two entities in Medieval France had police duties?,The Marshal of France and the Constable of France
How were the Marshal and Constable of France formally classified?,Great Officers of the Crown of France
What was the Marshal's force called?,the Marshalcy
"What was the Constable's force called, in English?",the Constabulary
"What was the Constable's force called, in French?",Connétablie
Which two entities in Medieval France had police duties?,The Marshal of France and the Constable of France
How were the Marshal and Constable of France formally classified?,Great Officers of the Crown of France
What was the Marshal's force called?,the Marshalcy
"What was the Constable's force called, in English?",the Constabulary
"What was the Constable's force called, in French?",Connétablie
In what year did Paris get a police force?,1667
Who created Paris's police force?,King Louis XIV
What was the largest European city in 1667?,Paris
"What was the title of the head of Paris's police, in English?",lieutenant general of police
"What was the title of the head of Paris's police, in French?",lieutenant général de police
Who was Paris's first head of police?,Gabriel Nicolas de la Reynie
How many commissioners worked under Reynie?,44
How many policing districts was Paris divided into?,16
When was Paris's police system expanded to the rest of France?,October 1699
When were police inspectors added to Paris's police?,1709
When did the French language adopt the word 'police'?,in the 18th century
Which dictionary said police were 'a symbol of foreign oppression'?,Britannica 1911
What language did French borrow the word 'police' from?,English
When were the Marine Police created in the UK?,1798
What was the first use of 'police' in the UK?,the appointment of Commissioners of Police for Scotland in 1714
Who convinced the West Indies merchants in London to establish police?,Patrick Colquhoun
Where did the West Indies merchants in London create a police force?,docks
When did the West Indies merchants in London create a police force?,1797
How much cargo had been being stolen from West Indies merchants in London each year?,"£500,000"
How did Colquhoun praise the French police?,"""the greatest degree of perfection"""
What was the initial size of the Thames River Police force?,50
How many dock workers were the Thames River Police policing?,"33,000"
How many dock workers did Colquhoun say were criminals?,"11,000"
When was the Thames River Police made a public service?,28 July 180
How much cargo theft did the Thames River Police prevent in its first year?,"£122,000"
How did the Bow Street group pay their employees?,stipendiary system
Who started the Bow Street detectives?,Henry and John Fielding
Who came up with the concept of the 'new' police?,Robert Peel
How did the Thames River Police pay their employees?,"full-time, salaried officers prohibited from taking private fees"
What schedule did the Thames River Police employees work?,full-time
Which law established Glasgow's police?,Glasgow Police Act
When was Glasgow's police force established?,1800
Which law established Ireland's police?,Irish Constabulary Act
When was Ireland's police force established?,1822
What was Ireland's police force called?,Royal Irish Constabulary
Who was the 'father of modern policing'?,Peel
Whose philosophy influenced Peel?,Jeremy Bentham
What political position did Bentham think police should have?,neutral
How did Peel standardize police?,as an official paid profession
How did Peel organize police?,in a civilian fashion
When was the Metropolitan Police Act passed?,1829
What did the Metropolitan Police Act say police were a subset of?,the judicial system
Where was the 'Continental model' of police from?,France
What part of the government did French police work under?,the authority of the monarch
When did Rio get its first police investigator?,1566
How had the Rio police grown by the 17th century?,most captaincies already had local units with law enforcement functions
When did Minas Gerais get a cavalry regiment?,"July 9, 1775"
Where did the Portuguese royal family move in 1808?,Brazil
Who invaded Portugal in 1808?,French
When did Canada get its first police?,1729
What was Canada's first police force?,Royal Newfoundland Constabulary
When was the Toronto police created?,1834
When was the Montreal police created?,1838
When were the first Mounties created?,1873
What were the Old West's local police options?,poorly resourced sheriffs and temporarily organized posses
Which military branch helped the Old West's inadequate local police?,The Army
Which military branch did the Pinkertons exceed at their height?,Army
Which private contractor acted as police for businesses?,Pinkerton National Detective Agency
Which countries' scholars developed the contemporary police concept?,German and French
When was the 'Treatise on the Police' published?,1705
What was the 'Treatise on the Police' called in French?,Traité de la Police
Who wrote the 'Treatise on the Police'?,Nicolas Delamare
What was von Hornigk's career?,Political economist and civil servant
Which economic theory did Foucault say supported the police?,mercantilist theory
How did Foucault describe the social duty of police?,procuring abundance
Who wrote about Polizeiwissenschaft?,Foucault
Why did the functions of police grow beyond law enforcement to urban planning?,"because of the miasma theory of disease; thus, cemeteries were moved out of town, etc."
Who wrote 'Preventive Police'?,Edwin Chadwick
When was 'Preventive Police' published?,1829
Where was 'Preventive Police' published?,London Review
What did Chadwick say police should be focused on?,prevention
What was the alternative to prevention?,a deterrent of punishment
What do some police departments make detectives go back to periodically?,patrol duties
Where do some think the most important police work happens?,on patrol
How do patrol officers affect crime?,prevent crime by their presence
When did Nadelmann write about global policing?,1993
When did Sheptycki write about global policing?,1995
What terms have been used to describe policing beyond one country?,"international policing, transnational policing, and/or global policing"
When did Deflem write about cross-border policing?,2002
What groups did European police work against across borders in the 19th century?,anarchist agitators and other political radicals
Which police force monitored Karl Marx?,Prussian
What international police agency was created before WW2?,Interpol
In what era did cross-border policing increase?,post–Cold War
Where did Sheptycki study police cooperation?,the English Channel region
When did Sheptycki write about police cooperation?,2002
When did the Channel region establish routine cross-border policing?,1968
When was the Schengen Treaty signed?,1992
What did the Schengen Treaty do for policing?,formalized aspects of police information exchange across the territory of the European Union
Where has cross-border policing been most under-studied?,outside of Europe
Who compared transnational police information and intelligence sharing practices?,Alain
What kind of policing has become common practice?,Intelligence-led
What problems did Sheptycki say 'organizational pathologies' have caused for police?,make the functioning of security-intelligence processes in transnational policing deeply problematic
What paradox did Sheptycki point out?,"the harder policing agencies work to produce security, the greater are feelings of insecurity"
Where has transnational policing become more important?,in United Nations peacekeeping
Who wrote about police development-aid in 2007?,Goldsmith and Sheptycki
What kind of countries get assistance with policing?,"weak, failed or failing states"
What concern did Hills raise about power imbalances?,With transnational police development-aid the imbalances of power between donors and recipients are stark
What concern did Hills raise about police models?,there are questions about the applicability and transportability of policing models between jurisdictions
Who wrote the Global Accountability Report for 2007?,"Lloyd, et al."
Why is transnational policing so unaccountable?,this is a secretive area and one not open to civil society involvement
How accountable is Interpol?,22%
What is the least-accountable IGO?,Interpol
What should non-lethal weapons properly be called?,"""less than lethal"" or ""less-lethal"""
What are common less-lethal weapons?,"batons, tear gas, riot control agents, rubber bullets, riot shields, water cannons and electroshock weapons"
What is supposed to be the last resort for police?,The use of firearms or deadly force
"What is South Africa's ""shoot-to-kill"" policy?",allows police to use deadly force against any person who poses a significant threat to them or civilians
Where can police shoot fleeing convicts?,Brazil
How do modern police often communicate?,radio
Where do police have radios?,carried both on the person and installed in vehicles
Why do police use radios?,"to co-ordinate their work, share information, and get help quickly"
What have computers in police cars enabled for investigation?,criminal background checks on persons of interest to be completed in a matter of seconds
What have computers in police cars enabled for reporting?,"updating officers' daily activity log and other, required reports on a real-time basis"
When do police often use unmarked cars?,primarily for sting operations or apprehending criminals without alerting them to their presence
What use of unmarked cars is controversial?,for traffic law enforcement
Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers
When did New York State ban unmarked cars for traffic cops?,1996
Why do some cops use bicycles to patrol?,they allow for more open interaction with the public
How do bicycles help catch some suspects?,their quieter operation can facilitate approaching suspects unawares and can help in pursuing them attempting to escape on foot
What do police use to control motorcyclist events?,Motorcycles
Who was O.W. Wilson a student of?,August Vollmer
Who introduced education requirements for US police?,August Vollmer
Why did Wilson rotate officers between communities?,to reduce their vulnerability to corruption
Where did Wilson reduce police corruption?,"Wichita, Kansas, and later in the Chicago Police Department"
How did Wilson recruit more qualified police?,an aggressive recruiting drive with higher police salaries
What does Miranda provide?,safeguards against self-incriminating statements made after an arrest
What does the 5th Amendment protect against?,self-incrimination
Which amendment prevents self-incrimination?,Fifth
When was the Terry v. Ohio case?,1968
Which two parts did Terry v. Ohio divide seizure into?,investigatory stop and arrest
What is an investigatory stop's search limited to?,what [is] minimally necessary to determine whether [a suspect] is armed
What is the legal status of UK police officers?,constables
What can only Inspector-ranked UK officers do?,authorize a search of a suspect's house
What can only Superintendent-ranked UK officers do?,authorize a suspect's detention beyond 24 hours
What powers of a new UK police officer are the same as a Commissioner's?,arrest
Why do some police acts limit when police can interfere without court orders?,To ensure that the police would not interfere in the regular competencies of the courts of law
What could be impeded without police interference?,the realization of the private right
How could police help the owner when a restaurant guest doesn't pay because their wallet got stolen?,establish a restaurant guest's identity and forward it to the innkeeper
"Of the huge amount of microorganisms, how many cause disease in otherwise healthy individuals?",relatively few
Interplay between pathogens and defenses of hosts results in what?,Infectious disease
What does the severity of a disease resulting from a pathogen depend on?,ability of that pathogen to damage the host
What can a host's immune system do to a host?,cause damage
What do clinicians classify infectious microorganisms according to the status of?,host defenses
What is one way of proving that a given disease is infectious?,satisfy Koch's postulates
What must an infectious agent only be identified in to satisfy the first of Koch's postulates?,patients and not in healthy controls
What is Koch's second postulate?,patients who contract the agent also develop the disease
Why can't Koch's postulates be applied ethically for many human diseases?,because they require experimental infection of a healthy individual
What is the causative spirochete of syphilis? ,Treponema pallidum
When are infectious diseases called contagious diseases? ,when they are easily transmitted by contact with an ill person
What is a contagious disease a subset of?,infectious disease
What sets a contagious disease after from a standard infectious disease?,especially infective or easily transmitted
Diseases with vector transmission or sexual transmission don't often require what type of isolation?,medical
What is not always respected in popular use?,"specialized connotation of the word ""contagious"""
When does infection begin?,"when an organism successfully enters the body, grows and multiplies."
What group is not easily infected?,humans
What group of humans have increased susceptibility to chronic or persistent infections?,"weak, sick, malnourished, have cancer or are diabetic"
What individuals are particularly susceptible to opportunistic infections?,Individuals who have a suppressed immune system
What is it called when a pathogen grows within the host cells?,intracellular
What does wound colonization refer to?,nonreplicating microorganisms within the wound
What type of organisms exist and injure tissue in infected wounds?,replicating
What are all multcellular organisms colonized to some degree by?,extrinsic organisms
What's the difference between an infection and a colonization?,only a matter of circumstance
What species colonizes the mammalian colon?,anaerobic bacteria
Why is it difficult to now which chronic wounds are infected?,Because it is normal to have bacterial colonization
What is there limited quality data for evaluating despite the huge number of wounds seen in a clinical practice?,symptoms and signs
What is increased pain an indicator of?,infection
What does not rule out infection?,absence of pain
Disease can arise when an organism inflicts what on the host?,damage
What can a microorganism cause tissue damage by releasing a variety of?,toxins
What does the of toxin Clostridium tetani releases do?,paralyzes muscles
What releases toxins which product shock and sepsis?,staphylococcus
What percentage of people infected with polio develop disease?,less than 5%
Why do persistent infections occur?,body is unable to clear the organism after the initial infection
What are persistent infections characterized by the continual presence of?,the infectious organism
How can some viruses main a persistent infection?,by infecting different cells of the body
What never leave the body when acquired?,Some viruses
Where does the herpes virus hide?,in nerves
What does diagnosis of an infectious sometimes involve identifying? ,an infectious agent either directly or indirectly
Many minor infectious diseases are diagnosed by what type of presentation?,clinical
How are minor infectious diseases treated?,without knowledge of the specific causative agent
What can be identified given sufficient effort?,all known infectious agents
Why is it often not worth bothering to identify an infectious agent?,greatly outweighed by the cost
How is diagnosis of infectious disease almost always initiated?,by medical history and physical examination
What does taking a culture of an infectious agent isolated from a patient allow?,detailed identification
What features of an infectious organism does a culture allow examining?,microscopic features
What can organisms be directly identified by?,its genotype
What technique can be used to produce images of internal abnormalities?,"X-rays, CAT scans, PET scans or NMR"
What type of culture is a principal tool used to diagnose infectious disease?,Microbiological
What type of medium is provided for a specific agent in a microbial culture?,growth
What are most pathogenic bacteria easily grown on?,nutrient agar
What is it called when a visible mound forms on the surface of a plate?,a colony
What is a region of dead cells resulting from viral growth called?,"a ""plaque"""
What are live animals required by?,some microbes
What can Mycobacterium leprae and Treponema pallidum be grown in?,animals
What type of eggs may some viruses be grown in?,embryonated
What is Xenodiagnosis?,use of a vector to support the growth of an infectious agent
What is it difficult to demonstrate the presence of in Chagas disease?,the causative agent
What is microscopy used for?,diagnosis of infectious disease
What do virtually all culture techniques rely on at some point?,microscopic examination
What can samples obtained from patients viewed directly under?,light microscope
When is microscopy exquisitely specific?,when used in combination with antibody based techniques.
What can antibodies with artificial fluorescence be directed to do? ,bind to and identify a specific antigens present on a pathogen
What do almost all cells readily stain with?,a number of basic dyes
Why do cells easily stain with dyes?,electrostatic attraction
What electronic charge do cellular molecules have?,negatively charged
What is Geimsa stain?,a dye
How many methods comprise standard approaches used to classify bacteria and diagnose disease?,Two
What needs to be isolated from infected tissue to provide a biochemical diagnosis of an infectious disease?,enzymes
What enzyme's presence is characteristic of specific types of viral infections?,RNA replicases
What does the protein hemagglutinin bind together?,red blood cells
Why are the presence of certain enymzes a tell tale sign of a virus?,humans can make neither RNA replicases nor reverse transcriptase
"What methods are highly sensitive, specifc and rapid tests used to identify microorganisms?",Serological
What are serological tests based upon the ability of an antibody to do?,bind specifically to an antigen
What is the antigen bound to by the antibody usually?,a protein or carbohydrate made by an infectious agent
What does the binding set off that will result in something visibly obvious in various ways?,a chain of events
"What is the causative agent of ""strep throat""?",S. pyogenes
What are immunoassays?,Complex serological techniques
What type of signal do immunoassays produce?,electro - magnetic or particle radiation
What allows quantitation of the target antigen?,unknowns can be compared to that of standards
Immunoassays are able to detect what type of proteins?,generated by an infected organism in response to a foreign agent
What does the acronym PCR expand to?,polymerase chain reaction
What will be the ubiquitous gold standards of diagnostics in the near future?,PCR
What has the catalog of infectious agents grown to the point of?,virtually all of the significant infectious agents of the human population have been identified
What must an infectious agent do to cause disease?,grow within the human body
What are primers derived from the genomes of?,infectious agents
What technological ability with regards to detection is currently available? ,ability to detect any infectious agent
What are the remaining blockades to the use or PCR as a standard tool of diagnosis?,cost and application
What are some diseases which won't benefit from PCR methods?,clostridial diseases
PCR can't detect the presence of any bacteria when what doesn't occur?,significant proliferation of the infectious agent
What is used in the treatment of AIDS?,AZT
How was the course of AIDS followed?,monitoring the composition of patient blood samples
What could be done by understanding how the disease was transmitted?,resources could be targeted to the communities at greatest risk
What did the genotypic identification of HIV later enable?,geographical origins of the virus
What is now commonly used to identify HIV in healthy people before the onset of the illnes?,Molecular diagnostics
What can wearing gowns and face masks help prevent?,infections from being passed from one person to another
What is the most important defense against the spread of unwanted organisms?,Frequent hand washing
Avoiding drugs and using condoms are other forms of what?,prevention
Why is it important to cook foods well?,prevention
What should one do with foods that have been left outside for a long time?,avoiding
Recognizing the different characteristics of various diseases is one way to do what?,prevent or slow down the transmission of infectious diseases
What are some critical disease characteristics that should be evaluated?,"virulence, distance traveled by victims, and level of contagiousness"
What virus' strains incapacitate their victims extremely quickly before killing them?,Ebola
Why is the initial stage of Ebola not very contagious?,victims experience only internal hemorrhaging
What does the low virulence of HIV allow victims to do?,travel long distances
Recognizing the effects of small-world networks allows one to decrease what?,transmission rate of infectious diseases
What type of interactions happen within groups of infected individuals in epidemics?,extensive interactions
What is a way of drastically reducing infection rates?,focus is on the prevention of transmission jumps
What is an example of a success implementation of preventing transmission jumps?,needle exchange programs in areas with a high density of drug users
When was vaccination used to prevent the spread of the foot-and-mouth virus?,2001
What is resistance to infection known technically as?,immunity
When may immunity be acquired?,following a disease
What is knowledge of protective antigens more complete for?,primary pathogens
What does herd immunity offer to vulnerable people when a large enough proportion of the population has acquired immunity?,a measure of protection
Vaccination is a way in which what may be acquired?,immunity
What can the clearance of pathogens be influenced by in an individual?,genetic variants
What is the brand name Pegasys for?,Pegylated interferon-alpha-2b
What are patients carrying certain genetic variant alleles near the IL28B gene more likely to achieve?,sustained virological response
What type of drugs can suppress an infection when it attacks the body?,anti-infective
How many broad types of anti-infective drugs exist?,Several
What depends on the method an antibiotic is given?,severity and the type of infection
How are severe infections of the brain usually treated?,with intravenous antibiotics
How do antibiotics work?,slowing down the multiplication of bacteria or killing the bacteria
What are the top three killer diseases?,"HIV/AIDS, TB and malaria"
How much have deaths due to HIV/AIDS increased?,fourfold
What are some popular childhood diseases?,"pertussis, poliomyelitis, diphtheria, measles and tetanus"
Who makes up a large percentage of diarrheal deaths?,Children
What is the number 4 leading cause of death in the world?,lower respiratory infections
What medical field does the treatment of infectious diseases fall into?,field of Infectious Disease
Disease propagation can fall under the purview of what field of study?,Epidemiology
Who tends to initially diagnose an infection?,primary care physicians or internal medicine specialists
What is the non-medical mumbo jumbo term for pulmonologist?,lung physician
Who works with both patients and general practitioners to identify a disease?,infectious diseases specialist
What have a number of studies found a correlation between?,pathogen load in an area and human behavior
What is higher pathogen load associated with?,decreased size of ethnic and religious groups in an area
What does avoidance of other groups reduce?,pathogen transmission
What does more restricted sexual behavior result in?,Higher pathogen load
What may poor socioeconomic factors ultimately in part be due to?,high pathogen load preventing economic development.
What profession finds evidence of infection in fossil remains to be interesting?,paleopathologists
What do paleopathologists study?,occurrences of injuries and illness in extinct life forms
What has been discovered in the bones of carnivorous dinosaurs?,Signs of infection
What dinosaur's skull had pit-like wounds surrounded by swollen and porous bone?,Herrerasaurus ischigualastensis
How did tyrannosaurs become infected?,being bitten during a fight
What is the practice of killing or trapping any animal?,Hunting
Why do humans most commonly hunt wildlife?,food
What is there a distinction between lawful hunting and?,poaching
What is poaching?,"illegal killing, trapping or capture of the hunted species"
What is the species which is hunted referred to as?,prey
What is the practice of killing or trapping any animal called?,Hunting
When was lawful hunting distinguished from poaching?,2010s
"Illegally killing, capturing or trapping an hunted species is called what?",poaching
Hunted species are usually referred to as what?,game or prey
What animals are usually hunted?,mammals and birds
What is it called to kill or trap an animal?,Hunting
What species are usually hunted?,mammals and birds
Why do humans hunt?,"food, recreation, to remove predators"
When was lawful hunting distinguished from poaching?,2010s
Species hunted are referred to as what? ,game or prey
What does evidence suggest hunting may have been a factor in the extinction of?,holocene megafauna
What was the North American megafauna extinction coincidental with?,Younger Dryas impact event
"What are humans thought to have played a significant role in, in Australia?",extinction of the Australian megafauna
When was Australian's megafauna widespread?,prior to human occupation
What along with multiple environmental factors led to the extinction of the holocene megafauna?,hunting
What replaced the holocene megafauna?,smaller herbivores
What event was coincidental with the North American megafauna extinction? ,Younger Dryas impact event
What is thought to have played a significant role in the extinction of the Australian megafauna?,humans
What is undisputed about early humans?,were hunters
Hunting was important for the emergence of the Homo genus from what?,earlier Australopithecines
Production of stone tools and control of fire were also pushed forward by what?,hunting
What became a theme of stories and myths?,hunting
Hunting allowed what type of rituals?,dance and animal sacrifice
What is undisputed about earlier humans?,humans were hunters
What did hunting become a theme of?,stories and myths
Stone tools and control of fire are emphasised in what hypothesis? ,hunting hypothesis
What type of lifestyle was prevalent in Siberia until the European Age of Discovery?,Hunter-gathering
"Where does the hunter-gathering lifestyle persist, though in decline?",some tribal societies
Indigenous peoples of the Amazonas preserved what until the recent past?,paleolithic hunting-gathering
Who are the only remaining full-time hunter-gatherers in Africa?,the Hadza of Tanzania
Hunter-gathering lifestyles remained prevalent until when?,European Age of Discovery
What parts of the New World did the hunter-gathering lifestyles remain?,"Sub-Saharan Africa, and Siberia, as well as all of Australia"
Who are the only remaining full-time hunter-gatherers in Africa?,Hadza of Tanzania
What is Louis Binford's profession?,Archaeologist
What idea did Binford take issue with?,that early hominids and early humans were hunters
What did Binford conclude humans were instead of hunters?,scavengers
What idea did Blumenschine propose?,idea of confrontational scavenging
What does confrontational scavenging involve doing to other predators after they've made a kill?,challenging and scaring off
Who is the archaeologist that does not believe early humans were hunters?,Louis Binford
Louis Binford concluded what based on skeletal remains of consumed animals?,hominids and early humans were mostly scavengers
What did Robert Blumenschine propose?,confrontational scavenging
Louis Binford's idea is popular among whom?,archaeologists and paleoanthropologists
Confrontational scavenging involves doing what to other predators?,challenging and scaring off
What was a significant contributor to the human food supply?,hunting
What did the supplementary meat from hunting include?,"protein, bone for implements, sinew for cordage, fur, feathers, rawhide and leather"
What was the leather from hunting used for?,clothing
Rocks and spears are examples of some of man's earliest what?,hunting weapons
Where is hunting still vital?,marginal climates
Hunt was a significant contributor to what?,human food supply
Where is hunting still vital?,marginal climates
Why is hunting still vital in marginal climates?,unsuited for pastoral uses or agriculture
How are the skins of sea mammals useful for people in the Arctic trap?,"make kayaks, clothing, and footwear"
What are kings often depicted as on ancient reliefs?,hunters
What are the kings portrayed as hunting?,big game
How was the cultural importance of hunting in ancient societies represented?,by deities
What could the mythological association of prey species with divinity be a form of?,hunting restrictions
What might the meaning of Euripides' tale be seen as a caution against?,disrespect of prey
Kings were depicted as hunting what big game from a chariot?,lions
What is often related to hunting?,Taboos
Deities represent what importance?,cultural and psychological
What tale is seen as cautions against disrespecting prey or impudent boasting?,Euripides' tale of Artemis and Actaeon
Who in medieval Europe obtained the sole rights to hunt in certain areas of a feudal territory?,the upper class
What was game in the  areas used by the upper class used as a source of?,food and furs
What legends show the importance of the proprietary view of game as held by the nobles?,Robin Hood
What is one of the primary charges against the outlaws in the legend?,"they ""hunt the King's deer"
Who in medieval Europe obtained the sole rights to hunt in certain areas of a feudal territory?,the upper class
What did Anglophone settles take gloried pride in?,democratically in hunting for all
What was game in the  areas used by the upper class used as a source of?,food and furs
What legends show the importance of the proprietary view of game as held by the nobles?,Robin Hood
What is one of the primary charges against the outlaws in the legend?,"they ""hunt the King's deer"
What did Anglophone settles take gloried pride in?,democratically in hunting for all
In medieval Europe who obtained sole rights to hunt in certain areas?,upper class
What was the game in feudal territory was used as?,food and furs
Who provided the game obtained in feudal territory?,professional huntsmen
The importance of can be seen in what legends?,Robin Hood
Who did Anglophone colonies democratically glorify hunting for?,all
What kind of occupation do Hindu scriptures describe hunting as being?,acceptable
What is one of the names of the god Shiva?,Mrigavyadha
What is the translation of Mrigavyadha?,"""the deer hunter"""
What does Shiva destroy in human beings?,animal instincts
What talent does Dasharatha have?,hunt in the dark
What scriptures describe hunting as and acceptable occupation?,Hindu
Godly figures have engaged in what activity?,hunting
Mrigavyadha means what?,deer hunter
Mrigavyadha destroys animal instinct in who?,human beings
What happened after Krishna was accidentally wounded by an arrow of a hunter?,died
Who has hunting been forbidden to since early Christian times?,Roman Catholic Church clerics
Who forbid to all servants of God hunting?,Corpus Juris Canonici
What pope was the Fourth Council of the Lateran held under?,Pope Innocent III
What does the decree of the Council of Trent imply?,not all hunting is illicit
What type of hunting is unlawful?,clamorosa
Who was forbidden to hunt in early Christian time?,Roman Catholic Church clerics
What forbid hunting in the woods with hounds and keeping hawks or falcons?,Corpus Juris Canonici
Who held the Fourth Council of the Lateran?,Pope Innocent III
How is the the decree of the Council of Trent is worded?,mildly
Who stated quiet hunting is allowed?,Council of Trent
What distinction is undoubtedly permissible?,between lawful and unlawful hunting
What can a bishop absolutely prohibit?,all hunting
Where did synods prohibit all hunting at?,"Milan, Avignon, Liège, Cologne, and elsewhere"
What did Benedict XIV declare about decrees prohibiting hunting?,not too severe
Who can prohibit hunting to the clerics?,bishop
Declaration that decrees are not severe was done by who?,Benedict XIV
"What did Synods at Milan, Avignon, Liege, Cologne, and elsewhere do?",prohibit all hunting to the clerics
What does New Zealand have?,strong hunting culture
What was the only land mammal native to New Zealand?,bats
Why were game animals introduced by acclimatisation societies?,to provide New Zealanders with sport and a hunting resource
Why did the population of pigs and rabbits explode in New Zealand?,no natural predators
What do government agencies view the animals as?,pests
What country has a strong hunting culture?,New Zealand
What were the the only land mammal in New Zealand?,bats
What is New Zealand made up of?,islands
Game animals were introduced here by whom?,acclimatisation societies
What resulted having no natural predators for the animals introduced?,their population exploded
What was hunting regarded as in British India?,regal sport
"What does the Indian word ""shikaris"" mean in English?",big-game hunters
What did British officers maintain whole corps of?,shikaris
Why did the regals recruit low-ranking local tribes when hunting?,because of their traditional knowledge of the environment and hunting techniques
What could a Bengal tiger be hunted from the back of?,an elephant
Where was hunting reguarded as a regal sport?,British India
What is hunted from the back of an elephant?,Bengal tigers
Who did British officers maintain?,shikaris
Who were the shikaris headed by?,master of the hunt
Why were low-ranking local tribes recruited?,because of their traditional knowledge of the environment and hunting techniques
What norms are generally antagonistic to hunting?,Regional social
What sect lays special emphasis on conservation of particular species?,Bishnoi
What bans the killing of all wild animals in India?,Wildlife Protection Act of 1972
Who may permit a person to hunt animals in India despite it being banned?,the Chief Wildlife Warden
Whose property does the body of any wild animal killed or wounded become?,government
Who lay special emphasis on conservation of particular species?,Bishnoi
What bans the killing of all wild animals?,India's Wildlife Protection Act
What year was this protection act put into place?,1972
Who can permit a person to hunt wild animals?,Chief Wildlife Warden
What happens to the body of the wild animal killed?,becomes government property
What type of hunting is most closely associated with the UK?,fox hunting
How do the English hunt foxes?,on horseback with hounds
"In England, what is hunted when ""shooting"" is called for?",birds
Why were foxes originally hunted?,form of vermin control to protect livestock
How is deer stalking with rifles carried out?,"on foot without hounds, using stealth"
What hunting is done on horseback with hounds?,fox
Hunting horseback with hound is associated with whom?,United Kingdom
In Victorian times a popular social activity was?,fox hunting
What is carried out on foot without hounds?,Deer stalking
Hounds were used for what purpose?,to pursue
What does shooting in Britain require little questing for?,game
About how many birds are released onto shooting estates every year in the UK?,thirty-five million
What kind of affairs can shoots be?,elaborate
Who uses swinging sticks or flags to drive game out?,"""beaters"""
What is the Glorious Twelfth in the UK?,open season for grouse
About how many birds are released onto shooting estates every year?,thirty-five million
Who swings sticks or flags to drive game out?,beaters
When does open season for grouse begin in the UK?,12 August
What is the UK definition of game is governed by?,Game Act 1831
Why are assistants used?,help load shotguns
What law primarily regulates hunting?,state
What additional type of law applies in the case of migratory birds and endangered species?,environmental
What varies widely from state to state?,Regulations
What do some states make a distinction between?,protected species and unprotected species
What do hunters of protected species require in all states?,a hunting license
How is hunting regulated?,by state law
Migratory birds and endangered species are protected by what law?,United States environmental law
What hunters require a hunting license in all states?,Hunters of protected species
What is sometimes a prerequisite of obtaining a hunting license?,hunting safety course
What is required when hunting big game?,"a ""tag"" for each animal harvested"
Tags are purchased in addition to what?,the hunting license
